content_hash_id,cluster,cluster_name,value_proxy,growth_probability,ever_optimized,reason_code,priority_score
content_2f3b957d437f57f6,1,Long-form Neglected,0.0,0.5616982176037242,0,never optimized,0.4419578943328152
content_484104106fcd99cf,1,Long-form Neglected,0.0,0.5616982176037242,0,never optimized,0.4419578943328152
content_efa180cbc6dba009,1,Long-form Neglected,0.0,0.5616982176037242,0,never optimized,0.4419578943328152
content_6f2a98a2e6c583e6,1,Long-form Neglected,0.0,0.5616982176037242,0,never optimized,0.4419578943328152
content_f21a4420cbb0fd54,0,Actively Maintained,0.0,0.44178586232807576,1,bottom-quartile predicted growth,0.4419474393530997
content_9d0beb24de61983a,0,Actively Maintained,0.0,0.4417872112196741,1,bottom-quartile predicted growth,0.4419393530997304
content_34a70fea29d15f24,0,Actively Maintained,0.0,0.44179432206417646,1,bottom-quartile predicted growth,0.4419231805929919
content_c5f4e577e75cbc6e,2,Fresh & Well-Linked,223.20000000000002,0.6045959850460477,1,top-quartile commercial value,0.4419228968315905
content_f2f6d51e2798633a,1,Long-form Neglected,0.0,0.5617268461667759,0,never optimized,0.4419204713378241
content_dcf5241830bbc95b,0,Actively Maintained,0.0,0.4418068869149874,1,bottom-quartile predicted growth,0.4419150943396226
content_8bf12762e6dc341f,1,Long-form Neglected,0.0,0.5617278570772605,0,never optimized,0.4419118352620569
content_00cd8861c922afa9,1,Long-form Neglected,0.0,0.5617278570772605,0,never optimized,0.4419118352620569
content_625174cd05cf206a,0,Actively Maintained,0.0,0.4418080170185172,1,bottom-quartile predicted growth,0.44190700808625333
content_a3e38f35aefc6ed2,0,Actively Maintained,0.0,0.4418160710838846,1,bottom-quartile predicted growth,0.44189892183288404
content_dff93755f62f0dfa,1,Long-form Neglected,0.0,0.5617440522767329,0,never optimized,0.441897441802445
content_60e0c991598c416a,0,Actively Maintained,0.0,0.4418179548713296,1,bottom-quartile predicted growth,0.4418908355795148
content_55265ba506efd85f,1,Long-form Neglected,0.0,0.5617963543187217,0,never optimized,0.44188016965091065
content_a6fca07f13a741ec,1,Long-form Neglected,0.0,0.5617963543187217,0,never optimized,0.44188016965091065
content_d237d7dda932de52,1,Long-form Neglected,0.0,0.5617963543187217,0,never optimized,0.44188016965091065
content_7bf994f88e0d606c,0,Actively Maintained,0.0,0.441821900088636,1,bottom-quartile predicted growth,0.44187466307277623
content_d4a20af1f7cccd02,1,Long-form Neglected,0.0,0.5618188125805903,0,never optimized,0.4418686548832211
content_4c84be3fc276b42a,0,Actively Maintained,0.0,0.44183203135204224,1,bottom-quartile predicted growth,0.4418625336927223
content_8056f0e5eeae945b,0,Actively Maintained,0.0,0.44183203135204224,1,bottom-quartile predicted growth,0.4418625336927223
content_aa52aa2d7501d3d6,1,Long-form Neglected,0.0,0.5618207010819535,0,never optimized,0.4418571401155315
content_4fb3b0c34aba1bf4,1,Long-form Neglected,0.0,0.5618207010819535,0,never optimized,0.4418571401155315
content_fa54dbea564e28e7,1,Long-form Neglected,0.0,0.5618207010819535,0,never optimized,0.4418571401155315
content_bd3cd16e0213a76f,2,Fresh & Well-Linked,0.0,0.4555619325944565,0,never optimized,0.4418546121429686
content_351473ac03c3e159,2,Fresh & Well-Linked,0.0,0.4555619325944565,0,never optimized,0.4418546121429686
content_c8b4674eeda75d2f,2,Fresh & Well-Linked,0.0,0.4555619325944565,0,never optimized,0.4418546121429686
